-256.34, -263.55
-421.17, 150.67
-431.1, 161.5
86.23, -409.09
-231, -317.24
-254, -97.5
-296.75, -261.92
-363.67, -320.36
-252.92, -332.78
-253.5, -379
-239.38, -112.59
-253.99, -425.96
-137.5, -466.5
-227.33, -430.35
-99.26, -348.52
-160.12, -257.73
-254.3, -263.59
-251.5, -324
-253.83, -425.73
-256, -367
-254.34, -263.59
-104.5, -422.5
80.5, -410.96
-48.5, 175
-449.05, 155.41
-429.05, 171.34
-426, 149.05
86.23, -412.09
97.19, -427.96
86.23, -412.09
136.22, 299.06
145.19, 299.44
384.16, 135.34
145.9, 314.87
25.66, 147.31
142.65, 295.22
151.13, 298.76
-56.63, 152.02
-64.44, 158.25
-64.43, 156.84
123.99, 313.95
-253.91, -97.88
-254.08, -97.77
-254.06, -97.77
-254.22, -97.76
-254.05, -98.02
-254.15, -98.19
-254.14, -95.65
121.48, 284.64
-249.53, -309.38
-252.66, -313.38
-251.47, -355.42
-123.45, -463.44
-184.1, -464.69
-260.3, -311.94
-264.45, -308.35
-263.14, -356.98
-129.55, -478.18
-257.97, -354.4
-127.07, -471.27
-248.65, -358.69
-178.18, -465.51
-255.25, -314.44
-83.25, -335.19
-244.92, -311.06
-316.5, -317.5
-9.94, -418.86
-85, -402.5
-342.44, -363.18
-243.48, -367.03
-267.79, -268.88
-130.78, -263.75
-187.43, -302.55
-214.14, -293.8
-239.9, -269.2
-357.17, -327.24
-311.9, -356.02
-133.92, -422.86
-256.11, -360.59
-263.69, -355.33
-128.41, -459.86
-253.33, -313.99
107.45, -451.35
-274.04, -349.21
-25.17, -443.65
-141.82, -401.81
-103.36, -267.69
-179.54, -440.71
-184.16, -412.39
-147.98, -277.25
-198.45, -449.75
-36.49, -261.2
-212.02, -382.04
-272.13, -310.82
-149.45, -351.54
-182.09, -464.43
-125.36, -465.88
-127.57, -480.46
-250.77, -356.35
-250.83, -319.23
-262.89, -310.21
-250.49, -310.54
166.5, 282
70, 277.5
155, 263.5
75.5, 291
-361.17, -322.86
-101.5, -416.5
-254.5, -334.4
-115, -100
-254.52, -193.39
-220.07, -431.95
-174.74, 151.57
265.5, -182.5
71.5, -104
70.07, -277.25
168.43, -371.44
120.5, 272.5
393.5, 244.5
-433.59, -217.96
-310.17, -272.2
-159.53, -241.9
-27.35, -244.5
-98.47, -348.38
380.82, 130.63
386, 131
378.5, 131.5
380.59, 136.14
-193.84, -87.18
-376.95, -134.84
-214.39, -145.89
-344.5, -151.28
-269.13, -168.99
-275.64, -50.92
-293.54, -78.72
-198.24, -170.01
-317.04, -167.01
-267.07, 181.88
-263.38, 150.83
-80.04, 253.7
-354.27, 169.16
-147.63, 268.96
-149.95, 100.86
-472.74, 68.49
-85.73, 208.97
-434.21, 175.88
-405.47, 76.14
-447.23, 172.12
-448.5, 103.19
-427.89, 79.21
-230.3, 265.48
-339.45, 116.66
16.61, -420.37
264.98, -363.45
310.98, -323.25
2.7, -184.73
10.47, -467.55
247.09, -433.48
268.45, 178.75
290.75, 149.83
12.99, 218.46
120.09, 320.7
309.84, 216.23
80.18, 73.64
108.35, 217.79
323.89, 30.02
171.4, 226.49
236.66, 272.73
362.09, 85.96
403.87, 52.95
175.96, 72.38
47.77, 88.9
254.24, 328.01
367.02, 227.76
131.93, 314.6
196.49, 112.97
268.19, 20.2
259.21, 128.23
339.08, 259.96
339.5, 231.5
30.07, 114.1
283.93, 332.51
490.21, 52.59
-321.11, -72.52
-300.69, -52.86
-327.23, -164.96
-304.04, -128.21
-340.68, -291.36
-30.29, -120.12
-374.92, -328.17
-324.72, -124.87
-436.82, 59.58
-436.95, 136.25
-149.95, 100.86
-434.21, 175.88
6.54, -142.15
364.93, 242
40.46, 93.82
421.82, 53.84
142.31, 316.16
269.97, 102.31
371.45, 55.87
326.2, 259.22
162.23, 164.66
111.35, 195.98
299.67, 70.54
339.62, 65.75
36.53, 104.76
97.43, 319.14
236.66, 272.73
287.5, 243.93
268.19, 20.2
283.47, 185.79
292.13, 118.4
-242.54, -111.2
-22.21, 208.32
66.5, -421.41
397.34, 137.29
-243.54, -320.74
-58.18, -284.71
-27.31, -498.05
-16.25, -482.4
-3.28, -401.54
-1.99, -409.06
43.34, -436.54
